BearCode,Date,tbl_Bears_Sex,Born,AQual,VisitAge,NumCubs,ABearCodeListX
X00510,1967-10-04,F,1965,TOOTH,2,0,
X00510,1968-09-08,F,1965,DERIVE,3,0,
X00510,1983-03-14,F,1965,DERIVE,18,2,"X09388 (COY   M), X09389 (COY   M)"
X00510,1988-03-11,F,1965,TOOTH,23,2,"X10795 (COY   F), X10796 (COY   F)"
X00510,1989-09-14,F,1965,DERIVE,24,0,
X00520,1967-10-26,F,1965,TOOTH,2,0,
X00520,1967-10-27,F,1965,DERIVE,2,0,
X00520,1981-03-23,F,1965,TOOTH,16,2,"X09039 (COY   F), X09040 (COY   F)"
X00520,1984-03-24,F,1965,DERIVE,19,3,"X09555 (COY   F), X09556 (COY   M), X09558 (COY   F)"
X00520,1984-03-09,F,1965,TOOTH,19,3,"X09555 (COY   F), X09556 (COY   M), X09558 (COY   F)"
X00520,1989-09-10,F,1965,DERIVE,24,0,
X00520,1990-09-20,F,1965,DERIVE,25,0,
X00547,1968-10-15,F,1965,TOOTH,3,0,
X00547,1968-10-16,F,1965,DERIVE,3,0,
X00547,1987-03-13,F,1965,DERIVE,22,2,"X10253 (COY   F), X10254 (COY   F)"
X00547,1990-03-21,F,1965,DERIVE,25,1,X11138 (COY   M)
X00547,1991-09-11,F,1965,DERIVE,26,0,
X00547,1992-09-06,F,1965,DERIVE,27,0,
X00547,1993-09-05,F,1965,DERIVE,28,0,
X00556,1968-10-28,F,1965,DERIVE,3,0,
X00556,1968-11-15,F,1965,DERIVE,3,0,
X00556,1977-08-16,F,1965,DERIVE,12,2,"X04800 (COY   M), X04801 (COY   F)"
X00556,1987-11-01,F,1965,DERIVE,22,1,X10987 (COY   M)
X00556,1988-09-22,F,1965,TOOTH,23,1,X10987 (YRLG   M)
X00556,1992-11-13,F,1965,DERIVE,27,1,X11592 (COY   M)
X00556,1992-03-10,F,1965,TOOTH,27,2,"X11591 (COY   F), X11592 (COY   M)"
X00556,1992-08-27,F,1965,DERIVE,27,2,"X11591 (COY   F), X11592 (COY   M)"
X00556,1992-09-19,F,1965,DERIVE,27,2,"X11591 (COY   F), X11592 (COY   M)"
X00563,1969-10-23,M,1964,DERIVE,5,0,
X00563,1969-10-24,M,1964,DERIVE,5,0,
X00563,1969-10-29,M,1964,DERIVE,5,0,
X00563,1969-08-10,M,1964,DERIVE,5,0,
X00563,1970-11-05,M,1964,DERIVE,6,0,
X00563,1970-08-31,M,1964,DERIVE,6,0,
X00563,1984-10-15,M,1964,DERIVE,20,0,
X00563,1984-07-22,M,1964,TOOTH,20,0,
X00563,1984-07-31,M,1964,DERIVE,20,0,
X00563,1984-08-19,M,1964,DERIVE,20,0,
X00563,1984-08-04,M,1964,DERIVE,20,0,
X00563,1986-09-15,M,1964,TOOTH,22,0,
X00563,1986-09-30,M,1964,DERIVE,22,0,
X00563,1987-08-28,M,1964,DERIVE,23,0,
X00563,1989-09-05,M,1964,DERIVE,25,0,
X00563,1989-09-09,M,1964,DERIVE,25,0,
X00569,1969-08-09,F,1968,DERIVE,1,0,"X00566 (ADULT   F), X00567 (YRLG   F)"
X00569,1981-10-22,F,1968,TOOTH,13,1,X09073 (YRLG   M)
X00569,1983-10-10,F,1968,TOOTH,15,1,X09340 (COY   F)
X00569,1983-03-09,F,1968,TOOTH,15,2,"X09340 (COY   F), X09341 (COY   M)"
X00569,1991-03-16,F,1968,DERIVE,23,2,"X11534 (COY   M), X11535 (COY   M)"
X00569,1991-09-18,F,1968,DERIVE,23,1,X11535 (COY   M)
X00569,1992-10-01,F,1968,DERIVE,24,1,X11535 (YRLG   M)
X00569,1992-10-29,F,1968,DERIVE,24,1,X11535 (YRLG   M)
X00569,1994-03-16,F,1968,DERIVE,26,2,"X17739 (COY   M), X17740 (COY   F)"
X00683,1969-11-06,M,1968,DERIVE,1,0,
X00683,1984-11-07,M,1968,DERIVE,16,0,
X00683,1984-08-24,M,1968,TOOTH,16,0,
X00683,1984-08-25,M,1968,DERIVE,16,0,
X00683,1984-09-28,M,1968,DERIVE,16,0,
X00683,1986-10-30,M,1968,DERIVE,18,0,
X00683,1986-09-17,M,1968,TOOTH,18,0,
X00683,1986-09-30,M,1968,DERIVE,18,0,
X00683,1987-08-23,M,1968,DERIVE,19,0,
X00683,1988-08-30,M,1968,DERIVE,20,0,
X00683,1989-10-09,M,1968,DERIVE,21,0,
X00683,1990-09-15,M,1968,DERIVE,22,0,
X00683,1991-11-12,M,1968,TOOTH,23,0,
X00689,1970-11-10,F,1970,DERIVE,0,0,"X00605 (COY   M), X00701 (U   F)"
X00689,1985-10-17,F,1970,DERIVE,15,0,
X00689,1985-10-22,F,1970,DERIVE,15,0,
X00689,1985-10-05,F,1970,DERIVE,15,0,
X00689,1985-07-31,F,1970,TOOTH,15,3,"X09923 (COY   M), X09924 (COY   F), X09925 (COY   F)"
X00689,1985-09-30,F,1970,DERIVE,15,0,
X00689,1987-09-23,F,1970,DERIVE,17,2,"X10596 (COY   M), X10597 (COY   F)"
X00704,1970-09-01,M,1964,DERIVE,6,0,
X00704,1989-11-24,M,1964,DERIVE,25,0,
X00704,1989-09-27,M,1964,TOOTH,25,0,
X00718,1970-10-31,M,1968,DERIVE,2,0,
X00718,1984-11-07,M,1968,DERIVE,16,0,
X00718,1984-08-11,M,1968,DERIVE,16,0,
X00718,1984-08-25,M,1968,DERIVE,16,0,
X00718,1984-08-07,M,1968,TOOTH,16,0,
X00718,1985-08-13,M,1968,DERIVE,17,0,
X00718,1985-08-03,M,1968,TOOTH,17,0,
X00718,1986-10-24,M,1968,DERIVE,18,0,
X00718,1986-10-30,M,1968,DERIVE,18,0,
X00718,1989-09-27,M,1968,DERIVE,21,0,
X00718,1992-09-12,M,1968,DERIVE,24,0,
X00718,1992-09-03,M,1968,DERIVE,24,0,
X00718,1993-08-28,M,1968,DERIVE,25,0,
X02001,1971-10-29,M,1969,DERIVE,2,0,
X02001,1971-11-22,M,1969,DERIVE,2,0,
X02001,1971-11-23,M,1969,DERIVE,2,0,
X02001,1971-11-09,M,1969,DERIVE,2,0,
X02001,1987-11-01,M,1969,DERIVE,18,0,
X02001,1987-09-10,M,1969,TOOTH,18,0,
X02001,1990-11-08,M,1969,DERIVE,21,0,
X02018,1971-11-23,F,1960,DERIVE,11,2,"X02016 (COY   M), X02017 (COY   M)"
X02018,1971-11-08,F,1960,TOOTH,11,0,
X02018,1973-10-30,F,1960,TOOTH,13,1,X02268 (COY   M)
X02018,1973-11-01,F,1960,DERIVE,13,1,X02268 (COY   M)
X02018,1974-11-11,F,1960,DERIVE,14,1,X02268 (YRLG   M)
X02018,1976-11-03,F,1960,DERIVE,16,1,X03666 (COY   F)
X02018,1985-10-17,F,1960,DERIVE,25,0,
X02018,1985-10-03,F,1960,DERIVE,25,0,
X02018,1985-11-04,F,1960,DERIVE,25,0,
X02018,1985-08-28,F,1960,DERIVE,25,0,
X02018,1985-09-22,F,1960,DERIVE,25,0,
X02026,1971-11-17,F,1971,KNOWN,0,0,X02076 (U   F)
X02026,1987-03-14,F,1971,KNOWN,16,1,X10266 (COY   M)
X02026,1989-10-07,F,1971,KNOWN,18,1,X11105 (COY   M)
X02026,1989-03-25,F,1971,KNOWN,18,3,"X11105 (COY   M), X11106 (COY   F), X11107 (COY   F)"
X02026,1992-03-12,F,1971,KNOWN,21,2,"X11758 (COY   M), X11759 (COY   F)"
X02026,1992-08-31,F,1971,KNOWN,21,2,"X11758 (COY   M), X11759 (COY   F)"
X02026,1994-03-12,F,1971,KNOWN,23,2,"X12135 (COY   M), X12136 (COY   M)"
X02026,1994-03-02,F,1971,KNOWN,23,0,
