"ID","DateSampled","SampleType","SampleTissue","Age","Sex"
"X09584",1999-08-24,"Validation","Blood",23,"F"
"X11498",2006-09-12,"Training","Skin",15,"M"
"X03413",2003-09-15,"Validation","Skin",12,"M"
"X19981",2015-09-12,"Training","Skin",2,"F"
"X11748",1993-03-05,"Training","Skin",0,"M"
"X05882",1989-09-09,"Training","Blood",15,"F"
"X33383",2014-09-12,"Training","Skin",4,"M"
"X17307",2003-10-30,"Validation","Skin",5,"F"
"X33136",2006-09-16,"Training","Skin",6,"F"
"X10626",1994-09-18,"Training","Blood",7,"M"
"X12770",2009-09-09,"Training","Skin",17,"F"
"X10344",1990-09-11,"Validation","Blood",24,"M"
"X09742",1994-03-15,"Validation","Blood",19,"F"
"X12278",1994-09-13,"Validation","Skin",0,"M"
"X12278",1994-09-13,"Validation","Blood",0,"M"
"X05674",1990-09-07,"Training","Blood",20,"M"
"X19776",2003-09-17,"Validation","Skin",23,"M"
"X12481",1996-09-05,"Validation","Blood",5,"F"
"X12481",1996-09-05,"Validation","Skin",5,"F"
"X17032",2014-09-04,"Validation","Skin",19,"M"
"X03397",1993-10-21,"Training","Skin",2,"F"
"X33405",2010-09-22,"Validation","Skin",7,"M"
"X10868",1994-09-17,"Training","Blood",22,"M"
"X12206",2007-09-13,"Validation","Blood",29,"F"
"X19238",2004-09-29,"Training","Skin",6,"M"
"X11995",2014-03-13,"Validation","Skin",24,"F"
"X11995",2014-09-19,"Validation","Skin",24,"F"
"X12553",2004-08-30,"Training","Blood",7,"F"
"X10509",2009-09-16,"Validation","Skin",24,"M"
"X03393",1998-09-21,"Training","Blood",7,"M"
"X09491",2001-02-28,"Validation","Skin",22,"F"
"X09491",2001-09-08,"Validation","Skin",22,"F"
"X33519",2012-09-18,"Validation","Skin",16,"F"
"X12634",1997-09-04,"Validation","Skin",0,"F"
"X12634",1997-09-04,"Validation","Blood",0,"F"
"X09955",1989-09-10,"Training","Blood",21,"F"
"X10979",1997-03-15,"Training","Blood",26,"F"
"X17444",2007-09-26,"Training","Skin",3,"M"
"X13018",1988-09-28,"Validation","Blood",19,"M"
"X11548",1991-09-01,"Training","Blood",14,"F"
"X17083",1999-09-15,"Training","Skin",3,"M"
"X19326",2000-09-18,"Training","Skin",1,"M"
"X09472",2007-09-13,"Training","Blood",25,"F"
"X09095",1989-10-01,"Validation","Blood",14,"M"
