index,var,beta_clock3,CHR,bp_hg38,Gene,Gene.hg19,ENTREZID,conservationInMouse,GeneRegionID,annotation,CHR_mm10,bp_mm10,Gene_mm10
1,Intercept,-6.356772178,,,,,,,,,,,
2,cg00101675,-0.101353504,14,63453806,PPP2R5E,PPP2R5E,5529,conserved gene and region in mouse and human,PPP2R5E_Exon,"Exon (ENST00000337537.8/5529, exon 3 of 14)",12,75515719,Ppp2r5e
3,cg06259996,0.045149111,5,93585317,NR2F1-AS1,NR2F1,441094,mapped to different gene in human and mouse,NR2F1-AS1_Exon,Promoter (<=1kb),13,78198288,Nr2f1
4,cg08938156,0.663271652,3,147409417,LOC440982,ZIC1,440982,mapped to different gene in human and mouse,LOC440982_fiveUTR,5' UTR,9,91365746,Zic1
5,cg15168457,0.766234115,12,111516347,ATXN2,ATXN2,6311,conserved gene and region in mouse and human,ATXN2_Exon,"Exon (ENST00000642389.2/6311, exon 10 of 27)",5,121781348,Atxn2
6,cg20370622,0.5491911,4,41748222,PHOX2B,PHOX2B,8929,conserved gene and region in mouse and human,PHOX2B_Promoter,Promoter (<=1kb),5,67098553,Phox2b
7,cg27593991,-0.369411124,18,55587081,TCF4,TCF4,6925,conserved gene but different region in human and mouse,TCF4_fiveUTR,5' UTR,18,69347333,Tcf4
8,cg20146241,-0.002222729,1,24535114,RCAN3AS,RCAN3,100750325,"mapped in human, not mapped in mouse",RCAN3AS_Exon,Promoter (<=1kb),,,
9,cg03747401,0.000492682,11,28566925,MIR8068,METTL15,102466876,mapped to different gene in human and mouse,MIR8068_Intergenic_upstream,Distal Intergenic,2,108827650,Rpl35a-ps4
10,cg15403305,-0.000253547,1,38207517,LINC01343,LINC01343,339442,mapped to different gene in human and mouse,LINC01343_Intron,"Intron (ENST00000671301.1/ENST00000671301.1, intron 1 of 1)",4,124511970,Pou3f1
11,cg02692845,-0.490593662,3,181712998,SOX2-OT,SOX2-OT,347689,mapped to different gene in human and mouse,SOX2-OT_Exon,"Exon (ENST00000325404.3/6657, exon 1 of 1)",3,34651059,Sox2
12,cg03679521,0.282266721,17,39607900,NEUROD2,NEUROD2,4761,conserved gene and region in mouse and human,NEUROD2_fiveUTR,Promoter (<=1kb),11,98329605,Neurod2
13,cg20236179,-0.102320369,19,45470664,ERCC1,ERCC1,2067,"mapped in human, not mapped in mouse",ERCC1_Exon,"Exon (ENST00000615753.4/2354, exon 2 of 5)",7,19307404,Fosb
14,cg11700079,0.358728283,5,171310377,TLX3,TLX3,30012,conserved gene and region in mouse and human,TLX3_Exon,"Exon (ENST00000296921.6/30012, exon 2 of 3)",11,33202444,Tlx3
15,cg01910711,0.179244863,15,40930850,DLL4,DLL4,54567,"mapped in human, not mapped in mouse",DLL4_Exon,Promoter (<=1kb),2,119327346,Dll4
16,cg14880272,-0.008148167,17,39607875,NEUROD2,NEUROD2,4761,"mapped in human, not mapped in mouse",NEUROD2_fiveUTR,Promoter (<=1kb),11,98329580,Neurod2
17,cg10501210,-0.277377634,1,207823675,MIR29B2CHG,LOC148696,100128537,"mapped in human, not mapped in mouse",MIR29B2CHG_Intron,"Intron (ENST00000608023.5/100128537, intron 2 of 4)",,,
18,cg26844246,0.160138445,5,171309273,TLX3,TLX3,30012,conserved gene and region in mouse and human,TLX3_fiveUTR,Promoter (<=1kb),11,33203551,Tlx3
19,cg04889095,0.222007631,12,8773554,RIMKLB,RIMKLB,57494,conserved gene and region in mouse and human,RIMKLB_Exon,"Exon (ENST00000357529.7/57494, exon 7 of 7)",6,122456429,Rimklb
20,cg13532184,0.289516582,12,56118310,ESYT1,ZC3H10,23344,mapped to different gene in human and mouse,ESYT1_fiveUTR,Promoter (<=1kb),10,128547701,Zc3h10
21,cg24312350,0.161830401,5,140042541,NRG2,NRG2,9542,conserved gene and region in mouse and human,NRG2_Exon,Promoter (<=1kb),18,36196599,Nrg2
22,cg26603143,-0.72555414,6,21597740,SOX4,SOX4,6659,conserved gene and region in mouse and human,SOX4_threeUTR,3' UTR,13,28949874,Sox4
23,cg06482098,-0.069266116,5,11384925,CTNND2,CTNND2,1501,conserved gene and region in mouse and human,CTNND2_Exon,"Exon (ENST00000304623.13/1501, exon 7 of 22)",15,30647063,Ctnnd2
24,cg19927064,1.412476859,12,48818919,CACNB3,CACNB3,784,conserved gene and region in mouse and human,CACNB3_fiveUTR,5' UTR,15,98635158,Cacnb3
25,cg08180952,0.218489613,15,75451661,SIN3A,SIN3A,25942,conserved gene and region in mouse and human,SIN3A_fiveUTR,Promoter (<=1kb),9,57076400,Sin3a
26,cg10040836,-0.002598804,15,96332460,NR2F2,NR2F2,7026,conserved gene and region in mouse and human,NR2F2_Exon,"Exon (ENST00000394166.8/7026, exon 1 of 3)",7,70359974,Nr2f2
27,cg11686722,0.248000996,15,37099520,MEIS2,MEIS2,4212,conserved gene and region in mouse and human,MEIS2_fiveUTR,5' UTR,2,116064867,Meis2
